Name,Idx,Lvl,Speed,AC,Attacks,Dam,Body,Str,Int,Wis,Dex,Con,Chr,Life,Disarm,Device,Save,Stealth,Search,Perception,Melee,Bows
"Player",0,0,-110,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Filthy street urchin",1,0,0,0,0,0,Standard,-3,0,-3,0,-3,-7,60,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Scrawny cat",2,0,0,0,0,0,Scrawny,-8,-2,-2,0,-2,-1,48,="13+5",="21+7",="33+9",6,10,8,="48+13",="17+11"
"Sparrow",3,0,0,0,0,0,Scrawny,-8,0,-3,0,-8,-7,43,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Chaffinch",4,0,0,0,0,0,Scrawny,-8,0,-3,0,-8,-7,43,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Wild rabbit",5,0,0,0,0,0,Scrawny,-8,0,-3,0,-8,-7,43,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Woodsman",6,0,0,0,0,0,Standard,-1,-1,-1,-1,-1,-3,66,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Scruffy little dog",7,0,0,0,0,0,Scrawny,2,1,-1,3,1,1,55,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Farmer Maggot",8,0,0,0,0,0,Standard,2,-1,-1,5,4,2,105,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"Blubbering idiot",9,0,0,0,0,0,Standard,-3,-8,-3,-3,-3,-8,48,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Hobo",10,0,0,0,0,0,Standard,-3,-3,-3,-3,-3,-18,48,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Raving lunatic",11,0,10,0,0,0,Standard,-3,-13,-3,-3,-3,-8,48,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Pitiful looking beggar",12,0,0,0,0,0,Standard,0,-1,-3,1,-1,-4,55,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
