Class,Dis,Dev,Sav,Stl,Srh,Fos,Thn,Thb,Dis2,Dev2,Sav2,Thn2,Thb2,Life,BHP,Riding,DualWielding
"Warrior",85,53,81,1,14,2,220,205,25+12,18+7,31+10,70+30,55+30,115,18,5000,8000
"Mage",65,115,93,3,16,20,64,55,30+7,40+15,38+11,34+6,20+7,95,0,0,0
"Priest",60,90,100,2,16,8,113,90,25+7,35+11,40+12,48+13,35+11,100,4,500,4000
"Rogue",120,97,86,5,32,24,165,130,45+15,37+12,36+10,60+21,60+14,110,12,2000,8000
"Ranger",70,92,86,3,24,16,146,130,30+8,37+11,36+10,56+18,50+16,106,8,5000,6000
"Paladin",55,74,89,1,12,2,173,130,20+7,24+10,34+11,68+21,40+18,111,12,5000,7000
"Warrior-Mage",65,92,86,2,18,16,146,125,30+7,37+11,36+10,56+18,50+15,106,8,2000,6000
"Chaos-Warrior",55,80,84,1,14,12,165,125,20+7,25+11,34+10,65+20,40+17,111,12,2000,7000
"Monk",120,89,86,5,32,24,154,150,45+15,34+11,36+10,64+18,60+18,110,12,0,0
"Mindcrafter",80,88,88,3,22,16,120,130,30+10,33+11,38+10,50+14,40+18,100,4,500,4000
"High-Mage",65,115,93,3,16,20,64,55,30+7,40+15,38+11,34+6,20+7,94,0,0,0
"Tourist",40,53,73,1,12,2,113,75,15+5,18+7,28+9,48+13,20+11,95,0,5000,8000
"Beastmaster",55,75,82,2,18,16,122,188,20+7,25+10,32+10,52+14,63+25,103,6,8000,6000
"Sorcerer",65,138,140,2,12,22,0,0,30+7,48+18,75+13,0+0,0+0,65,0,0,0
"Archer",98,74,85,4,24,16,146,262,38+12,24+10,35+10,56+18,82+36,111,12,2000,4000
"Magic-Eater",60,122,86,2,20,16,113,90,25+7,42+16,36+10,48+13,35+11,103,6,0,4000
"Bard",60,98,89,-5,16,20,84,60,20+8,33+13,34+11,34+10,20+8,100,4,500,4000
"Red-Mage",55,89,89,1,16,10,146,80,20+7,34+11,34+11,56+18,25+11,106,8,2000,4000
"Samurai",85,53,82,2,16,6,185,130,25+12,18+7,32+10,70+23,40+18,111,12,2000,8000
"Force-Trainer",80,89,93,4,32,24,120,115,30+10,34+11,38+11,50+14,40+15,100,4,0,0
"Cavalry",70,53,82,1,16,10,170,196,20+10,18+7,32+10,60+22,66+26,111,10,8000,4000
"Berserker",-100,-1000,-200,-100,-100,-100,370,-2000,-100+0,-1000+0,-200+0,120+50,-2000+0,200,22,0,8000
"Weaponsmith",80,78,78,1,20,10,165,120,30+10,28+10,28+10,60+21,45+15,111,12,2000,7000
"Mirror-Master",80,88,100,3,14,16,64,80,30+10,33+11,40+12,34+6,30+10,100,4,0,0
"Ninja",120,74,86,8,48,32,195,90,45+15,24+10,36+10,70+25,35+11,100,4,0,8000
"Sniper",85,74,78,5,32,18,95,212,25+12,24+10,28+10,35+12,72+28,100,4,0,1000
"Time-Lord",60,90,85,2,16,8,113,85,25+7,35+11,35+10,48+13,20+13,96,0,2000,6000
"Blood-Knight",85,53,82,2,16,6,185,95,25+12,18+7,32+10,70+23,20+15,120,20,2000,8000
"Warlock:Undead",60,115,100,4,16,20,113,90,20+8,40+15,40+12,48+13,35+11,107,15,500,4000
"Warlock:Dragons",55,80,80,1,14,12,122,90,20+7,25+11,30+10,52+14,35+11,102,10,500,4000
"Warlock:Angels",55,90,115,1,16,8,113,90,20+7,35+11,40+15,48+13,35+11,98,4,500,4000
"Warlock:Demons",55,115,100,0,12,2,154,90,20+7,40+15,40+12,64+18,35+11,100,15,500,4000
"Warlock:Hounds",55,75,81,5,20,15,156,80,20+7,25+10,31+10,56+20,25+11,102,12,500,4000
"Warlock:Spiders",55,92,81,7,12,2,116,135,20+7,37+11,31+10,56+12,60+15,97,1,500,4000
