Class,Realm,Index,Name,Level,Cost,Fail
"Mage","Life",1,"Cure Light Wounds",1,1,30
"Mage","Life",2,"Bless",3,2,35
"Mage","Life",3,"Regeneration",4,3,35
"Mage","Life",4,"Call Light",5,5,35
"Mage","Life",5,"Detect Doors & Traps",7,7,35
"Mage","Life",6,"Cure Medium Wounds",9,8,40
"Mage","Life",7,"Cure Poison",12,12,40
"Mage","Life",8,"Satisfy Hunger",15,14,45
"Mage","Life",9,"Remove Curse",16,16,45
"Mage","Life",10,"Fasting",17,17,50
"Mage","Life",11,"Cure Critical Wounds",18,18,50
"Mage","Life",12,"Resist Heat and Cold",19,19,50
"Mage","Life",13,"Sense Surroundings",20,20,50
"Mage","Life",14,"Turn Undead",23,23,50
"Mage","Life",15,"Healing",30,30,55
"Mage","Life",16,"Glyph of Warding",35,70,75
"Mage","Life",17,"Dispel Curse",26,30,50
"Mage","Life",18,"Perception",28,25,70
"Mage","Life",19,"Dispel Undead",33,33,60
"Mage","Life",20,"Sustaining",35,35,60
"Mage","Life",21,"Cure Mutation",35,35,70
"Mage","Life",22,"Word of Recall",35,55,80
"Mage","Life",23,"Transcendence",39,40,80
"Mage","Life",24,"Warding True",46,70,80
"Mage","Life",25,"Sterilization",9,15,50
"Mage","Life",26,"Detection",25,25,50
"Mage","Life",27,"Annihilate Undead",35,55,80
"Mage","Life",28,"Clairvoyance",42,100,80
"Mage","Life",29,"Restoration",45,90,80
"Mage","Life",30,"Healing True",48,50,80
"Mage","Life",31,"Holy Vision",49,100,80
"Mage","Life",32,"Ultimate Resistance",50,100,80
"Mage","Sorcery",1,"Detect Monsters",1,1,23
"Mage","Sorcery",2,"Phase Door",1,2,24
"Mage","Sorcery",3,"Detect Doors and Traps",3,3,25
"Mage","Sorcery",4,"Light Area",3,3,30
"Mage","Sorcery",5,"Confuse Monster",4,4,30
"Mage","Sorcery",6,"Teleport",5,5,35
"Mage","Sorcery",7,"Sleep Monster",6,5,30
"Mage","Sorcery",8,"Recharging",7,7,75
"Mage","Sorcery",9,"Magic Mapping",9,7,75
"Mage","Sorcery",10,"Mass Identify",10,7,75
"Mage","Sorcery",11,"Slow Monster",11,7,75
"Mage","Sorcery",12,"Mass Stasis",13,7,50
"Mage","Sorcery",13,"Teleport Away",18,12,60
"Mage","Sorcery",14,"Haste Self",22,12,60
"Mage","Sorcery",15,"Detection True",28,20,70
"Mage","Sorcery",16,"Identify True",33,30,75
"Mage","Sorcery",17,"Inventory Protection",3,3,25
"Mage","Sorcery",18,"Stair Creation",10,10,80
"Mage","Sorcery",19,"Sense Minds",14,10,60
"Mage","Sorcery",20,"Teleport to town",18,30,70
"Mage","Sorcery",21,"Self Knowledge",20,18,85
"Mage","Sorcery",22,"Teleport Level",20,18,60
"Mage","Sorcery",23,"Word of Recall",25,25,75
